"stockid","stocklong","country","region","lme","area","areaid","species","comm_name","msy_source","msy_code","msy_units","msy","year","bbmsy","uumsy","bbmsy_source","uumsy_source","bbmsy_notes","uumsy_notes","catch_type","catch_units","catch"
"ACADRED2J3K","Acadian redfish NAFO Division 2J3K","Canada","Canada East Coast","Labrador - Newfoundland","NAFO Division 2J3K","Canada-DFO-2J3K","Sebastes fasciatus","Acadian redfish","Assessment","MSY-MT","MT",3000,2009,0.1131174487507,0.00281463763573499,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",48.7
"ACADRED3LNO-UT12","Acadian redfish NAFO Division 3LNO and Units 1 and 2","Canada","Canada East Coast","Labrador - Newfoundland","NAFO Division 3LNO and Units 1 and 2","Canada-DFO-3LNO-UT12","Sebastes fasciatus","Acadian redfish","Assessment","MSY-MT","MT",116000,2009,2.40270733419603,0.0514942990296279,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",9000
"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank","USA","US East Coast","Northeast U.S. Continental Shelf","Gulf of Maine / Georges Bank","USA-NMFS-5YZ","Sebastes fasciatus","Acadian redfish","Assessment","MSY-MT","MT",10466,2014,1.173909331512,0.394736842105263,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",5090
"ACADREDUT3","Acadian redfish Unit 3","Canada","Canada East Coast","Scotian Shelf","Unit 3","Canada-DFO-UT3","Sebastes fasciatus","Acadian redfish","Assessment","MSY-MT","MT",131000,2009,3.16151173106596,0.058193340972672,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",4600
"ACMACKSARG","Argentine chub mackerel Southern Argentina","Argentina","South America","Patagonian Shelf","Southern Argentina","Argentina-CFP-ARG-S","Scomber colias","Argentine chub mackerel","Estimated from Fox or Schaefer model","MSY-est-MT","MT",8745.165542,2014,1.52808988764045,0.2125,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TL","MT",6640
"AFLONCH","Alfonsino Chile","multinational","South America","Humboldt Current","Chile","multinational-SPRFMO-CHL","Beryx splendens","Alfonsino","Estimated from Fox or Schaefer model","MSY-est-MT","MT",1277.516865,2011,0.641185408017013,0.249046185947734,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TL","MT",204
"ALBAIO","Albacore tuna Indian Ocean","multinational","Indian Ocean","Indian Ocean","Indian Ocean","multinational-IOTC-IO","Thunnus alalunga","Albacore tuna","Assessment","MSY-MT","MT",38800,2014,1.8,0.846,"Assessment","Assessment","SSBdivSSBmsy-dimensionless","FdivFmsy-dimensionless","TL","MT",39400
"ALBAMED","Albacore tuna Mediterranean Sea","multinational","Mediterranean-Black Sea","Mediterranean Sea","Mediterranean Sea","multinational-ICCAT-MED","Thunnus alalunga","Albacore tuna","Assessment","MSY-MT","MT",28900,2014,0.963,1.37,"Assessment","Assessment","TBdivTBmsy-dimensionless","FdivFmsy-dimensionless","TL","MT",2400
"ALBANATL","Albacore tuna Northern Atlantic","multinational","Atlantic Ocean","North Atlantic Ocean","Northern Atlantic","multinational-ICCAT-NATL","Thunnus alalunga","Albacore tuna","Estimated from Fox or Schaefer model","MSY-est-MT","MT",37897.71314,2014,1.34,0.538,"Assessment","Assessment","TBdivTBmsy-dimensionless","FdivFmsy-dimensionless","TL","MT",26700
"ALBANPAC","Albacore tuna North Pacific Ocean","Multinational","Pacific Ocean","North Pacific Ocean","North Pacific Ocean","multinational-ISC-NPAC","Thunnus alalunga","Albacore tuna","Assessment","MSY-MT","MT",105571,2014,3.26,0.662,"Assessment","Assessment","SSBdivSSBmsy-dimensionless","FdivFmsy-dimensionless","TL","MT",84300
"ALBASATL","Albacore tuna South Atlantic","multinational","Atlantic Ocean","South Atlantic Ocean","South Atlantic","multinational-ICCAT-SATL","Thunnus alalunga","Albacore tuna","Assessment","MSY-MT","MT",25147.5,2013,1.15,0.565,"Assessment","Assessment","TBdivTBmsy-dimensionless","FdivFmsy-dimensionless","TC","MT",19200
"ALBASPAC","Albacore tuna South Pacific Ocean","multinational","Pacific Ocean","South Pacific Ocean","South Pacific Ocean","multinational-WCPFC-SPAC","Thunnus alalunga","Albacore tuna","Assessment","MSY-MT","MT",76800,2013,2.86,0.47,"Assessment","Assessment","SSBdivSSBmsy-dimensionless","FdivFmsy-dimensionless","TL","MT",84800
"ALPLAICBSAI","Alaska plaice Bering Sea and Aleutian Islands","USA","US Alaska","East Bering Sea","Bering Sea and Aleutian Islands","USA-NMFS-BSAI","Pleuronectes quadrituberculatus","Alaska plaice","Estimated from Fox or Schaefer model","MSY-est-MT","MT",26295.89301,2010,1.94635362812481,0.176315789473684,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",16200
"ALSKABSAI","Alaska skate Bering Sea and Aleutian Islands","USA","US Alaska","East Bering Sea","Bering Sea and Aleutian Islands","USA-NMFS-BSAI","Bathyraja parmifera","Alaska skate","Estimated from Fox or Schaefer model","MSY-est-MT","MT",3461.811746,2014,2.06349448970546,2.32480309317377,"Assessment","Uses scaled reference point","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",24800
"AMPL23K","American plaice Labrador - NE Newfoundland","Canada","Canada East Coast","Labrador - Newfoundland","Labrador - NE Newfoundland","Canada-DFO-23K","Hippoglossoides platessoides","American plaice","Estimated from Fox or Schaefer model","MSY-est-MT","MT",3862.178054,2011,0.494625517580256,0.00889897756553046,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",17
"AMPL4VWX","American plaice Scotian Shelf and Bay of Fundy","Canada","Canada East Coast","Scotian Shelf","Scotian Shelf and Bay of Fundy","Canada-DFO-4VWX","Hippoglossoides platessoides","American plaice","Assessment","MSY-MT","MT",5113,2009,0.726747353331604,0.0448640314882795,"Uses model estimated reference point","Uses scaled reference point","SSBdivSSBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TL","MT",182
"AMPL5YZ","American plaice Gulf of Maine / Georges Bank","USA","US East Coast","Northeast U.S. Continental Shelf","Gulf of Maine / Georges Bank","USA-NMFS-5YZ","Hippoglossoides platessoides","American plaice","Assessment","MSY-MT","MT",2675,2014,0.839246204318303,0.612244897959184,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",1330
"ANCHIXa","Anchovy Portugese Waters -East","multinational","European Union","Iberian Coastal","Portugese Waters -East","multinational-ICES-IXa","Engraulis encrasicolus","Anchovy","Estimated from Fox or Schaefer model","MSY-est-MT","MT",11703.99346,2014,2.04823409206334,0.465735832480828,"Uses model estimated reference point","Uses scaled reference point","SSBdivSSBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TL","MT",10200
"ANCHMEDGSA1","Anchovy Northern Alboran Sea","multinational","Mediterranean-Black Sea","Mediterranean Sea","Northern Alboran Sea","multinational-GFCM-GSA1","Engraulis encrasicolus","Anchovy","Estimated from Fox or Schaefer model","MSY-est-MT","MT",354.3976402,2009,0.482264358274515,2.32352290329719,"Uses model estimated reference point","Assessment","SSBdivSSBmsy-est-dimensionless","FdivFmgt-calc-dimensionless","TC","MT",292
"ANCHMEDGSA16","Anchovy South of Sicily","multinational","Mediterranean-Black Sea","Mediterranean Sea","South of Sicily","multinational-GFCM-GSA16","Engraulis encrasicolus","Anchovy","Assessment","MSY-MT","MT",2359,2011,0.669,2.76835216898324,"Assessment","Assessment","TBdivTBmsy-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",4370
"ANCHMEDGSA17-18","Anchovy Adriatic Sea (GSA 17,18)","multinational","Mediterranean-Black Sea","Mediterranean Sea","Adriatic Sea (GSA 17,18)","multinational-GFCM-GSA17-18","Engraulis encrasicolus","Anchovy","Estimated from Fox or Schaefer model","MSY-est-MT","MT",11507.02832,2014,1.13966114956491,2.60416666666667,"Uses model estimated reference point","Assessment","TBdivTBmsy-est-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",31100
